Date,CPU Utilization,CPU Power
2023-05-14 16:09:35,0.00000,0.00000
2023-05-14 16:09:36,0.00000,0.00000
2023-05-14 16:09:37,0.00000,0.00000
2023-05-14 16:09:38,0.00000,0.00000
2023-05-14 16:09:39,0.00000,0.00000
2023-05-14 16:09:40,0.00000,0.00000
2023-05-14 16:09:41,0.00000,0.00000
2023-05-14 16:09:42,0.00000,0.00000
2023-05-14 16:09:43,0.00000,0.00000
2023-05-14 16:09:44,0.00000,0.00000
2023-05-14 16:09:45,0.00000,0.00000
2023-05-14 16:09:46,0.00000,0.00000
2023-05-14 16:09:47,0.00000,0.00000
2023-05-14 16:09:48,0.00000,0.00000
2023-05-14 16:09:49,0.00000,0.00000
2023-05-14 16:09:50,0.00000,0.00000
2023-05-14 16:09:51,0.00000,0.00000
2023-05-14 16:09:52,0.00000,0.00000
2023-05-14 16:09:53,0.00000,0.00000
2023-05-14 16:09:54,0.00000,0.00000
2023-05-14 16:09:55,0.00000,0.00000
2023-05-14 16:09:56,0.00000,0.00000
2023-05-14 16:09:57,0.00000,0.00000
2023-05-14 16:09:58,0.00000,0.00000
2023-05-14 16:09:59,0.00000,0.00000
2023-05-14 16:10:00,0.00000,0.00000
2023-05-14 16:10:01,0.00000,0.00000
2023-05-14 16:10:02,0.00000,0.00000
2023-05-14 16:10:03,0.00000,0.00000
2023-05-14 16:10:04,0.00000,0.00000
2023-05-14 16:10:05,0.00000,0.00000
2023-05-14 16:10:06,0.00000,0.00000
2023-05-14 16:10:07,0.00000,0.00000
2023-05-14 16:10:08,0.00000,0.00000
2023-05-14 16:10:09,0.00000,0.00000
2023-05-14 16:10:10,0.00000,0.00000
2023-05-14 16:10:11,0.00000,0.00000
2023-05-14 16:10:12,0.00000,0.00000
2023-05-14 16:10:13,0.00000,0.00000
2023-05-14 16:10:14,0.00000,0.00000
2023-05-14 16:10:15,0.00000,0.00000
2023-05-14 16:10:16,0.00000,0.00000
2023-05-14 16:10:17,0.00000,0.00000
2023-05-14 16:10:18,0.00000,0.00000
2023-05-14 16:10:19,0.00000,0.00000
2023-05-14 16:10:20,0.00000,0.00000
2023-05-14 16:10:21,0.00000,0.00000
2023-05-14 16:10:22,0.00000,0.00000
2023-05-14 16:10:23,0.00000,0.00000
2023-05-14 16:10:24,0.00000,0.00000
2023-05-14 16:10:25,0.00000,0.00000
2023-05-14 16:10:26,0.00000,0.00000
2023-05-14 16:10:27,0.00000,0.00000
2023-05-14 16:10:28,0.00000,0.00000
2023-05-14 16:10:29,0.00000,0.00000
2023-05-14 16:10:30,0.00000,0.00000
2023-05-14 16:10:31,0.00000,0.00000
2023-05-14 16:10:32,0.00000,0.00000
2023-05-14 16:10:33,0.00000,0.00000
2023-05-14 16:10:34,0.00000,0.00000
2023-05-14 16:10:35,0.00000,0.00000
2023-05-14 16:10:36,0.00000,0.00000
