Date,CPU Utilization,CPU Power
2023-05-09 14:38:03,0.00000,0.00000
2023-05-09 14:38:04,0.00000,0.00000
2023-05-09 14:38:05,0.00000,0.00000
2023-05-09 14:38:06,0.00000,0.00000
2023-05-09 14:38:07,0.00000,0.00000
2023-05-09 14:38:08,0.00000,0.00000
2023-05-09 14:38:09,0.00000,0.00000
2023-05-09 14:38:10,0.00000,0.00000
2023-05-09 14:38:11,0.00000,0.00000
2023-05-09 14:38:12,0.00000,0.00000
2023-05-09 14:38:13,0.00000,0.00000
2023-05-09 14:38:14,0.00000,0.00000
2023-05-09 14:38:15,0.00000,0.00000
2023-05-09 14:38:16,0.00000,0.00000
2023-05-09 14:38:17,0.00000,0.00000
2023-05-09 14:38:18,0.00000,0.00000
2023-05-09 14:38:19,0.00000,0.00000
2023-05-09 14:38:20,0.00000,0.00000
2023-05-09 14:38:21,0.00000,0.00000
2023-05-09 14:38:22,0.00000,0.00000
2023-05-09 14:38:23,0.00000,0.00000
2023-05-09 14:38:24,0.00000,0.00000
2023-05-09 14:38:25,0.00000,0.00000
2023-05-09 14:38:26,0.00000,0.00000
2023-05-09 14:38:27,0.00000,0.00000
2023-05-09 14:38:28,0.00000,0.00000
2023-05-09 14:38:29,0.00000,0.00000
2023-05-09 14:38:30,0.00000,0.00000
2023-05-09 14:38:31,0.00000,0.00000
2023-05-09 14:38:32,0.00000,0.00000
2023-05-09 14:38:33,0.00000,0.00000
2023-05-09 14:38:34,0.00000,0.00000
2023-05-09 14:38:35,0.00000,0.00000
2023-05-09 14:38:36,0.00000,0.00000
2023-05-09 14:38:37,0.00000,0.00000
2023-05-09 14:38:38,0.00000,0.00000
2023-05-09 14:38:39,0.00000,0.00000
2023-05-09 14:38:40,0.00000,0.00000
2023-05-09 14:38:41,0.00000,0.00000
2023-05-09 14:38:42,0.00000,0.00000
2023-05-09 14:38:43,0.00000,0.00000
2023-05-09 14:38:44,0.00000,0.00000
2023-05-09 14:38:45,0.00000,0.00000
2023-05-09 14:38:46,0.00000,0.00000
2023-05-09 14:38:47,0.00000,0.00000
2023-05-09 14:38:48,0.00000,0.00000
2023-05-09 14:38:49,0.00000,0.00000
2023-05-09 14:38:50,0.00000,0.00000
2023-05-09 14:38:51,0.00000,0.00000
2023-05-09 14:38:52,0.00000,0.00000
2023-05-09 14:38:53,0.00000,0.00000
2023-05-09 14:38:54,0.00000,0.00000
2023-05-09 14:38:55,0.00000,0.00000
2023-05-09 14:38:56,0.00000,0.00000
2023-05-09 14:38:57,0.00000,0.00000
2023-05-09 14:38:58,0.00000,0.00000
2023-05-09 14:38:59,0.00000,0.00000
2023-05-09 14:39:00,0.00000,0.00000
2023-05-09 14:39:01,0.00000,0.00000
2023-05-09 14:39:02,0.00000,0.00000
2023-05-09 14:39:03,0.00000,0.00000
2023-05-09 14:39:04,0.00000,0.00000
2023-05-09 14:39:05,0.00000,0.00000
2023-05-09 14:39:06,0.00000,0.00000
2023-05-09 14:39:07,0.00000,0.00000
2023-05-09 14:39:08,0.00000,0.00000
2023-05-09 14:39:09,0.00000,0.00000
2023-05-09 14:39:10,0.00000,0.00000
2023-05-09 14:39:11,0.00000,0.00000
2023-05-09 14:39:12,0.00000,0.00000
2023-05-09 14:39:13,0.00000,0.00000
