Date,CPU Utilization,CPU Power
2023-05-14 11:37:32,0.00000,0.00000
2023-05-14 11:37:33,0.00000,0.00000
2023-05-14 11:37:34,0.00000,0.00000
2023-05-14 11:37:35,0.00000,0.00000
2023-05-14 11:37:36,0.00000,0.00000
2023-05-14 11:37:37,0.00000,0.00000
2023-05-14 11:37:38,0.00000,0.00000
2023-05-14 11:37:39,0.00000,0.00000
2023-05-14 11:37:40,0.00000,0.00000
2023-05-14 11:37:41,0.00000,0.00000
2023-05-14 11:37:42,0.00000,0.00000
2023-05-14 11:37:43,0.00000,0.00000
2023-05-14 11:37:44,0.00000,0.00000
2023-05-14 11:37:45,0.00000,0.00000
2023-05-14 11:37:46,0.00000,0.00000
2023-05-14 11:37:47,0.00000,0.00000
2023-05-14 11:37:48,0.00000,0.00000
2023-05-14 11:37:49,0.00000,0.00000
2023-05-14 11:37:50,0.00000,0.00000
2023-05-14 11:37:51,0.00000,0.00000
2023-05-14 11:37:52,0.00000,0.00000
2023-05-14 11:37:53,0.00000,0.00000
2023-05-14 11:37:54,0.00000,0.00000
2023-05-14 11:37:55,0.00000,0.00000
2023-05-14 11:37:56,0.00000,0.00000
2023-05-14 11:37:57,0.00000,0.00000
2023-05-14 11:37:58,0.00000,0.00000
2023-05-14 11:37:59,0.00000,0.00000
2023-05-14 11:38:00,0.00000,0.00000
2023-05-14 11:38:01,0.00000,0.00000
2023-05-14 11:38:02,0.00000,0.00000
2023-05-14 11:38:03,0.00000,0.00000
2023-05-14 11:38:04,0.00000,0.00000
2023-05-14 11:38:05,0.00000,0.00000
2023-05-14 11:38:06,0.00000,0.00000
2023-05-14 11:38:07,0.00000,0.00000
2023-05-14 11:38:08,0.00000,0.00000
2023-05-14 11:38:09,0.00000,0.00000
2023-05-14 11:38:10,0.00000,0.00000
2023-05-14 11:38:11,0.00000,0.00000
2023-05-14 11:38:12,0.00000,0.00000
2023-05-14 11:38:13,0.00000,0.00000
2023-05-14 11:38:14,0.00000,0.00000
2023-05-14 11:38:15,0.00000,0.00000
2023-05-14 11:38:16,0.00000,0.00000
2023-05-14 11:38:17,0.00000,0.00000
2023-05-14 11:38:18,0.00000,0.00000
2023-05-14 11:38:19,0.00000,0.00000
2023-05-14 11:38:20,0.00000,0.00000
2023-05-14 11:38:21,0.00000,0.00000
2023-05-14 11:38:22,0.00000,0.00000
2023-05-14 11:38:23,0.00000,0.00000
2023-05-14 11:38:24,0.00000,0.00000
2023-05-14 11:38:25,0.00000,0.00000
2023-05-14 11:38:26,0.00000,0.00000
2023-05-14 11:38:27,0.00000,0.00000
2023-05-14 11:38:28,0.00000,0.00000
2023-05-14 11:38:29,0.00000,0.00000
2023-05-14 11:38:30,0.00000,0.00000
2023-05-14 11:38:31,0.00000,0.00000
2023-05-14 11:38:32,0.00000,0.00000
2023-05-14 11:38:33,0.00000,0.00000
2023-05-14 11:38:34,0.00000,0.00000
2023-05-14 11:38:35,0.00000,0.00000
2023-05-14 11:38:36,0.00000,0.00000
2023-05-14 11:38:37,0.00000,0.00000
2023-05-14 11:38:38,0.00000,0.00000
2023-05-14 11:38:39,0.00000,0.00000
2023-05-14 11:38:40,0.00000,0.00000
2023-05-14 11:38:41,0.00000,0.00000
2023-05-14 11:38:42,0.00000,0.00000
2023-05-14 11:38:43,0.00000,0.00000
2023-05-14 11:38:44,0.00000,0.00000
2023-05-14 11:38:45,0.00000,0.00000
2023-05-14 11:38:46,0.00000,0.00000
2023-05-14 11:38:47,0.00000,0.00000
2023-05-14 11:38:48,0.00000,0.00000
2023-05-14 11:38:49,0.00000,0.00000
2023-05-14 11:38:50,0.00000,0.00000
2023-05-14 11:38:51,0.00000,0.00000
2023-05-14 11:38:52,0.00000,0.00000
2023-05-14 11:38:53,0.00000,0.00000
2023-05-14 11:38:54,0.00000,0.00000
2023-05-14 11:38:55,0.00000,0.00000
2023-05-14 11:38:56,0.00000,0.00000
2023-05-14 11:38:57,0.00000,0.00000
2023-05-14 11:38:58,0.00000,0.00000
2023-05-14 11:38:59,0.00000,0.00000
2023-05-14 11:39:00,0.00000,0.00000
2023-05-14 11:39:01,0.00000,0.00000
2023-05-14 11:39:02,0.00000,0.00000
2023-05-14 11:39:03,0.00000,0.00000
2023-05-14 11:39:04,0.00000,0.00000
2023-05-14 11:39:05,0.00000,0.00000
2023-05-14 11:39:06,0.00000,0.00000
2023-05-14 11:39:07,0.00000,0.00000
2023-05-14 11:39:08,0.00000,0.00000
2023-05-14 11:39:09,0.00000,0.00000
2023-05-14 11:39:10,0.00000,0.00000
2023-05-14 11:39:11,0.00000,0.00000
